Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%,Year,Diff_Eff,Era
1,2024-25,NBA,26.3,79.0,215.0,84,241.5,38.9,85.6,12.4,35.2,18.4,23.8,11.0,31.5,42.6,22.6,7.9,5.0,14.0,20.8,108.8,0.455,0.354,0.775,95.6,0.528,12.8,25.9,0.215,113.0,0.566,2024,0.03799999999999992,2020s
2,2023-24,NBA,26.4,79.0,216.0,82,240.9,39.0,84.4,11.7,33.4,15.9,20.3,10.1,31.7,41.8,23.2,6.4,4.8,12.2,19.1,105.6,0.462,0.351,0.779,92.7,0.532,11.6,24.1,0.188,113.5,0.566,2023,0.03399999999999992,2020s
3,2022-23,NBA,26.1,78.0,216.0,84,241.2,40.2,87.2,12.0,34.3,17.2,21.6,10.3,32.8,43.1,23.7,6.8,4.8,12.8,19.6,109.6,0.461,0.351,0.794,96.1,0.53,11.7,24.0,0.197,113.5,0.566,2022,0.03599999999999992,2020s
4,2021-22,NBA,26.1,78.0,215.0,87,240.3,38.2,83.7,12.3,34.6,17.7,22.6,9.4,32.6,42.0,22.9,7.1,4.6,13.7,21.5,106.3,0.456,0.355,0.785,95.5,0.529,12.8,22.3,0.212,111.2,0.567,2021,0.03799999999999992,2020s
5,2020-21,NBA,26.1,78.0,217.0,85,241.2,40.2,86.9,12.5,34.3,17.5,22.2,9.9,33.5,43.4,22.0,6.7,4.4,12.2,20.5,110.3,0.462,0.364,0.786,96.1,0.534,11.2,22.8,0.201,114.3,0.571,2020,0.03699999999999992,2020s
6,2019-20,NBA,26.1,78.0,218.0,83,242.1,38.8,85.0,13.1,36.3,18.8,23.9,8.8,34.3,43.2,22.9,7.0,4.3,14.0,21.8,109.6,0.457,0.36,0.788,97.6,0.534,12.8,20.4,0.221,111.3,0.574,2019,0.039999999999999925,2010s
7,2018-19,NBA,26.3,78.0,219.0,82,242.4,38.5,86.9,11.4,32.9,19.4,24.7,10.2,34.8,45.0,23.0,7.1,4.9,12.8,22.2,107.7,0.443,0.345,0.784,96.9,0.508,11.6,22.7,0.223,110.0,0.551,2018,0.04300000000000004,2010s
8,2017-18,NBA,26.4,79.0,220.0,82,241.2,38.4,84.2,10.5,29.9,17.2,22.5,9.2,33.7,42.8,21.8,7.3,4.8,13.2,20.7,104.4,0.456,0.351,0.765,95.4,0.518,12.3,21.4,0.204,108.9,0.555,2017,0.03700000000000003,2010s
9,2016-17,NBA,26.6,79.0,221.0,79,240.9,38.5,83.7,10.5,29.1,18.5,23.8,9.7,32.1,41.8,22.2,7.6,4.7,13.3,20.8,106.0,0.46,0.361,0.776,94.9,0.523,12.4,23.2,0.221,111.3,0.563,2016,0.039999999999999925,2010s
10,2015-16,NBA,26.7,79.0,222.0,86,241.5,36.5,83.1,9.1,25.8,17.6,23.6,10.5,32.5,43.0,19.9,7.3,5.0,13.2,21.1,99.8,0.44,0.354,0.747,93.0,0.495,12.4,24.4,0.212,106.7,0.534,2015,0.039000000000000035,2010s
