,,,,,,,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Per Game,Shooting,Shooting,Shooting,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced,Advanced
Rk,Season,Lg,Age,Ht,Wt,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,Pace,eFG%,TOV%,ORB%,FT/FGA,ORtg,TS%
1,2024-25,NBA,26.3,6-7,215,84,241.5,38.9,85.6,12.4,35.2,18.4,23.8,11.0,31.5,42.6,22.6,7.9,5.0,14.0,20.8,108.8,.455,.354,.775,95.6,.528,12.8,25.9,.215,113.0,.566
2,2023-24,NBA,26.4,6-7,216,82,240.9,39.0,84.4,11.7,33.4,15.9,20.3,10.1,31.7,41.8,23.2,6.4,4.8,12.2,19.1,105.6,.462,.351,.779,92.7,.532,11.6,24.1,.188,113.5,.566
3,2022-23,NBA,26.1,6-6,216,84,241.2,40.2,87.2,12.0,34.3,17.2,21.6,10.3,32.8,43.1,23.7,6.8,4.8,12.8,19.6,109.6,.461,.351,.794,96.1,.530,11.7,24.0,.197,113.5,.566
4,2021-22,NBA,26.1,6-6,215,87,240.3,38.2,83.7,12.3,34.6,17.7,22.6,9.4,32.6,42.0,22.9,7.1,4.6,13.7,21.5,106.3,.456,.355,.785,95.5,.529,12.8,22.3,.212,111.2,.567
5,2020-21,NBA,26.1,6-6,217,85,241.2,40.2,86.9,12.5,34.3,17.5,22.2,9.9,33.5,43.4,22.0,6.7,4.4,12.2,20.5,110.3,.462,.364,.786,96.1,.534,11.2,22.8,.201,114.3,.571
6,2019-20,NBA,26.1,6-6,218,83,242.1,38.8,85.0,13.1,36.3,18.8,23.9,8.8,34.3,43.2,22.9,7.0,4.3,14.0,21.8,109.6,.457,.360,.788,97.6,.534,12.8,20.4,.221,111.3,.574
7,2018-19,NBA,26.3,6-6,219,82,242.4,38.5,86.9,11.4,32.9,19.4,24.7,10.2,34.8,45.0,23.0,7.1,4.9,12.8,22.2,107.7,.443,.345,.784,96.9,.508,11.6,22.7,.223,110.0,.551
8,2017-18,NBA,26.4,6-7,220,82,241.2,38.4,84.2,10.5,29.9,17.2,22.5,9.2,33.7,42.8,21.8,7.3,4.8,13.2,20.7,104.4,.456,.351,.765,95.4,.518,12.3,21.4,.204,108.9,.555
9,2016-17,NBA,26.6,6-7,221,79,240.9,38.5,83.7,10.5,29.1,18.5,23.8,9.7,32.1,41.8,22.2,7.6,4.7,13.3,20.8,106.0,.460,.361,.776,94.9,.523,12.4,23.2,.221,111.3,.563
10,2015-16,NBA,26.7,6-7,222,86,241.5,36.5,83.1,9.1,25.8,17.6,23.6,10.5,32.5,43.0,19.9,7.3,5.0,13.2,21.1,99.8,.440,.354,.747,93.0,.495,12.4,24.4,.212,106.7,.534
11,2014-15,NBA,26.7,6-7,223,81,242.8,36.8,84.5,8.8,25.5,18.1,25.0,11.0,34.0,45.0,21.8,7.6,5.4,13.5,21.9,100.5,.435,.344,.725,94.4,.487,12.4,24.5,.214,105.3,.526
12,2013-14,NBA,26.5,6-7,223,89,242.5,36.4,80.0,8.0,22.3,18.8,24.7,10.2,30.9,41.1,19.8,7.1,4.4,13.3,22.0,99.5,.455,.358,.763,90.6,.505,12.8,24.9,.235,108.7,.548
13,2012-13,NBA,26.7,6-7,223,85,243.5,35.0,79.4,7.1,20.6,18.1,24.0,10.5,30.8,41.3,19.3,7.0,4.8,13.8,22.2,95.2,.441,.344,.751,89.5,.486,13.3,25.4,.227,104.8,.529
